clave|valor
"ABU"|"ABUELO(A)"
"BISA"|"BISABUELO(A)"
"BISN"|"BISNIETO"
"CON"|"CONCUBINA O CONCUBINARIO"
"COC"|"CONCUÑO"
"CY"|"CONYUGUE"
"CUN"|"CUÑADO"
"HER"|"HERMANO(A)"
"HIJ"|"HIJO(A)"
"MAD"|"MADRE"
"PAD"|"PADRE"
"PRI"|"PRIMO(A)"
"SOB"|"SOBRINO(A)"
"SUE"|"SUEGRO(A)"
"TTA"|"TATARABUELO"
"TTN"|"TATARANIETO"
"TIOA"|"TIO(A)"
"NIE"|"NIETO(A)"
"NIN"|"NINGUNO"
"OTRO"|"OTRO(ESPECIFIQUE)"
