clave|valor
"EJE"|"EJECUTIVO"
"LEG"|"LEGISLATIVO"
"JUD"|"JUDICIAL"
"MUN"|"MUNICIPIO"
"OAU"|"ÓRGANO AUTÓNOMO"
"PAP"|"PARTIDO POLÍTICO"
"SIN"|"SINDICATO"
"FID"|"FIDEICOMISO"
