clave|valor
"CPV"|"EC Common Procurement Vocabulary"
"CPVS"|"EC Common Procurement Vocabulary - Listas de Códigos Suplementarias"
"GSIN"|"Goods and Services Identification Number"
"UNSPSC"|"United Nations Standard Products and Services Code"
"CPC"|"Central Product Classification"
"OKDP"|"Russian National Classification of Products by Economic Activity (1994)"
"OKPD"|"Russian National Classification of Products by Economic Activity (2014)"
"CUCOP"|"Clasificador Único Mexicano de Contrataciones Públicas"
