clave|valor
"preProcurement"|"Hitos previos a la contratación"
"approval"|"Hitos de aprobación"
"engagement"|"Hitos de participación"
"assessment"|"Hitos de la evaluación"
"delivery"|"Hitos de entrega"
"reporting"|"Hitos de reporte"
"financing"|"Hitos de financiamiento"
