clave|valor
"framework"|"Primera etapa de un acuerdo marco"
"planning"|"Proceso de planeación"
"parent"|"Contrato principal (para sub contratos)"
"prior"|"Proceso previo"
"unsuccessfulProcess"|"Proceso sin éxito"
"subContract"|"Sub contrato"
"replacementProcess"|"Proceso de reemplazo"
"renewalProcess"|"Proceso de renovación"
