clave|valor
"planning"|"Planeación"
"planned"|"Planeado"
"active"|"Activo"
"cancelled"|"Cancelado"
"unsuccessful"|"Sin Éxito"
"complete"|"Completo"
"withdrawn"|"Retirado"
